Payment date,Payable month,House,Apartment,Amount of payment
2014-09-14,2014-08,Panel,84,5839.77
2014-09-14,2014-08,Brick,118,4251.63
2014-09-14,2014-08,Brick,97,471.5
2014-09-14,2014-08,Panel,53,236.22
2014-09-14,2014-08,Panel,83,4220.77
2014-09-14,2014-08,Brick,131,6853.64
2014-09-14,2014-08,Panel,41,513.01ds
2014-09-14,2014-08,Brick,74,145.16
2014-09-15,2014-08,Brick,83,887.76
2014-09-15,2014-08,Panel,64,168.1
2014-09-15,2014-08,Panel,2,4468.82
2014-09-15,2014-08,Brick,1,1140.09
2014-09-15,2014-08,Brick,100,1383.95
2014-09-15,2014-08,Brick,80,311.34
2014-09-15,2014-08,Panel,38,1572.13
2014-09-15,2014-08,Panel,27,6929.07
2014-09-16,2014-08,Brick,57,1502.7
2014-09-16,2014-08,Brick,76,7263.16
2014-09-16,2014-08,Wooden,1,7187.53
2014-09-16,2014-08,Brick,78,4551.94
2014-09-16,2014-08,Brick,68,1848.67
2014-09-16,2014-08,Panel,100,1283.11
2014-09-16,2014-08,Brick,59,1476.99
2014-09-16,2014-08,Panel,28,4841.93
2014-09-17,2014-08,Brick,123,1965.37
2014-09-17,2014-08,Brick,66,4185.18
2014-09-17,2014-08,Brick,98,3705.67
2014-09-17,2014-08,Brick,99,5521.5
2014-09-17,2014-08,Panel,44,2505.31
2014-09-17,2014-08,Brick,55,3481.03
2014-09-17,2014-08,Panel,4,1870.21
2014-09-17,2014-08,Brick,62,636.26
2014-09-18,2014-08,Panel,25,2596.24
2014-09-18,2014-08,Panel,51,1768.98
2014-09-18,2014-08,Brick,85,3581.65
2014-09-18,2014-08,Brick,5,2325.04
2014-09-18,2014-08,Brick,103,3878.14
2014-09-18,2014-08,Panel,7,2352.07
2014-09-18,2014-08,Brick,58,485.5
2014-09-18,2014-08,Brick,28,8071.66
2014-09-19,2014-08,Stone,8,2317.85
2014-09-19,2014-08,Brick,64,2752.58
2014-09-19,2014-08,Stone,7,7468.07
2014-09-19,2014-08,Panel,85,2418.42
2014-09-19,2014-08,Panel,23,2006.64
2014-09-19,2014-08,Brick,95,6224.02
2014-09-19,2014-08,Panel,81,2466.75
2014-09-19,2014-08,Brick,17,1168.04
2014-09-20,2014-08,Brick,104,5175.48
2014-09-20,2014-08,Panel,88,8105.17
2014-09-20,2014-08,Panel,45,4792.13
2014-09-20,2014-08,Panel,71,5747.3
2014-09-20,2014-08,Panel,89,1467.48
2014-09-20,2014-08,Brick,111,811.3
2014-09-20,2014-08,Stone,12,1527.61
2014-09-20,2014-08,Brick,38,5780.81
2014-09-21,2014-08,Panel,47,4441.04
2014-09-21,2014-08,Brick,73,701.58
2014-09-21,2014-08,Brick,107,2504.87
2014-09-21,2014-08,Brick,133,2296.63
2014-09-21,2014-08,Panel,58,1727.77
2014-09-21,2014-08,Panel,33,775.5
2014-09-21,2014-08,Panel,75,2417.18
2014-09-21,2014-08,Brick,2,6933.55
2014-09-22,2014-08,Panel,37,1222.77
2014-09-22,2014-08,Brick,67,926.55
2014-09-22,2014-08,Brick,21,111.0
2014-09-22,2014-08,Panel,70,4221.13
2014-09-22,2014-08,Brick,108,1193.96
2014-09-22,2014-08,Brick,110,1318.74
2014-09-22,2014-08,Panel,93,2879.28
2014-09-22,2014-08,Brick,139,1639.98
2014-09-23,2014-08,Stone,15,3970.54
2014-09-23,2014-08,Brick,14,306.66
2014-09-23,2014-08,Panel,57,4432.89
2014-09-23,2014-08,Brick,6,7635.67
2014-09-23,2014-08,Brick,69,883.52
2014-09-23,2014-08,Stone,14,362.16
2014-09-23,2014-08,Panel,62,7901.41
2014-09-23,2014-08,Brick,26,299.47
2014-09-24,2014-08,Panel,22,5325.73
2014-09-24,2014-08,Panel,87,3265.39
2014-09-24,2014-08,Panel,18,1918.77
2014-09-24,2014-08,Panel,50,8387.55
2014-09-24,2014-08,Panel,30,156.52
2014-09-24,2014-08,Brick,16,6077.13
2014-09-24,2014-08,Brick,116,3205.28
2014-09-24,2014-08,Brick,27,1008.29
2014-09-25,2014-08,Panel,46,1939.47
2014-09-25,2014-08,Brick,49,1855.36
2014-09-25,2014-08,Brick,9,7953.51
2014-09-25,2014-08,Brick,91,408.65
2014-09-25,2014-08,Brick,127,255.26
2014-09-25,2014-08,Brick,105,5857.3
2014-09-25,2014-08,Panel,63,5029.02
2014-09-25,2014-08,Panel,82,996.96
2014-09-26,2014-08,Brick,122,1835.84
2014-09-26,2014-08,Brick,61,3359.51
2014-09-26,2014-08,Brick,71,1083.18
2014-09-26,2014-08,Panel,17,3636.65
2014-09-26,2014-08,Panel,6,106.67
2014-09-26,2014-08,Stone,6,2691.39
2014-09-26,2014-08,Brick,70,3044.96
2014-09-26,2014-08,Brick,23,5084.13
2014-09-27,2014-08,Brick,120,2495.52
2014-09-27,2014-08,Brick,56,888.32
2014-09-27,2014-08,Panel,90,6306.16
2014-09-27,2014-08,Brick,87,3296.73
2014-09-27,2014-08,Panel,42,6422.3
2014-09-27,2014-08,Brick,119,257.96
2014-09-27,2014-08,Panel,96,3323.2
2014-09-27,2014-08,Brick,4,895.4
2014-09-28,2014-08,Brick,81,1231.34
2014-09-28,2014-08,Brick,37,2560.08
2014-09-28,2014-08,Panel,60,2578.22
2014-09-28,2014-08,Brick,33,3186.03
2014-09-28,2014-08,Panel,97,1191.01
2014-09-28,2014-08,Panel,79,2171.49
2014-09-28,2014-08,Panel,14,5539.7
2014-09-28,2014-08,Panel,78,543.61
2014-09-29,2014-08,Brick,45,1365.76
2014-09-29,2014-08,Panel,40,933.22
2014-09-29,2014-08,Panel,20,804.25
2014-09-29,2014-08,Panel,69,1339.28
2014-09-29,2014-08,Brick,3,6048.21
2014-09-29,2014-08,Panel,8,6317.64
2014-09-29,2014-08,Panel,19,5855.93
2014-09-29,2014-08,Brick,94,1670.86
2014-09-30,2014-08,Panel,10,824.94
2014-09-30,2014-08,Brick,84,5324.43
2014-09-30,2014-08,Brick,109,1794.24
2014-09-30,2014-08,Panel,12,2673.15
2014-09-30,2014-08,Panel,48,868.8
2014-09-30,2014-08,Wooden,5,574.43
2014-09-30,2014-08,Brick,15,2477.24
2014-09-30,2014-08,Brick,31,386.62
