Payment date,Payable month,House,Apartment,Amount of payment
2014-12-01,2014-10,Brick,124,1728.63
2014-12-01,2014-10,Panel,18,62.56
2014-12-01,2014-10,Brick,11,3154.65
2014-12-01,2014-10,Panel,62,4835.11
2014-12-01,2014-10,Panel,90,6262.46
2014-12-01,2014-10,Stone,3,713.96
2014-12-01,2014-10,Panel,28,6886.22
2014-12-01,2014-10,Brick,59,746.91
2014-12-02,2014-10,Brick,50,6890.61
2014-12-02,2014-10,Panel,22,3498.84
2014-12-02,2014-10,Stone,10,2053.98
2014-12-02,2014-10,Panel,92,5430.99
2014-12-02,2014-10,Panel,98,1185.5
2014-12-02,2014-10,Brick,66,2510.71
2014-12-02,2014-10,Brick,120,6199.06
2014-12-02,2014-10,Brick,15,6148.18
2014-12-03,2014-10,Panel,47,5406.61
2014-12-03,2014-10,Panel,77,1122.82
2014-12-03,2014-10,Panel,26,252.07
2014-12-03,2014-10,Brick,117,11.96
2014-12-03,2014-10,Brick,97,3102.13
2014-12-03,2014-10,Stone,12,926.67
2014-12-03,2014-10,Brick,21,176.47
2014-12-03,2014-10,Brick,74,4514.53
2014-12-04,2014-10,Brick,39,2259.79
2014-12-04,2014-10,Brick,4,8689.5
2014-12-04,2014-10,Panel,29,8418.08
2014-12-04,2014-10,Panel,58,967.55
2014-12-04,2014-10,Panel,67,1933.27
2014-12-04,2014-10,Brick,113,2996.84
2014-12-04,2014-10,Panel,40,256.78
2014-12-04,2014-10,Brick,91,167.14
2014-12-05,2014-10,Brick,55,2286.01
2014-12-05,2014-10,Brick,29,5409.18
2014-12-05,2014-10,Panel,10,1500.62
2014-12-05,2014-10,Panel,91,6334.53
2014-12-05,2014-10,Panel,2,5306.52
2014-12-05,2014-10,Brick,77,2922.11
2014-12-05,2014-10,Brick,12,3127.39
2014-12-05,2014-10,Panel,68,6738.44
2014-12-06,2014-10,Brick,80,3519.85
2014-12-06,2014-10,Panel,94,2194.78
2014-12-06,2014-10,Brick,75,6570.0
2014-12-06,2014-10,Panel,39,38.49
2014-12-06,2014-10,Panel,52,1790.16
2014-12-06,2014-10,Brick,24,52.15
2014-12-06,2014-10,Brick,71,2000.97
2014-12-06,2014-10,Panel,72,3414.31
