Payment date,Payable month,House,Apartment,Amount of payment
2014-10-01,2014-08,Brick,34,1522.59
2014-10-01,2014-08,Brick,117,1285.57
2014-10-01,2014-08,Brick,136,1925.97
2014-10-01,2014-08,Brick,24,1032.95
2014-10-01,2014-08,Brick,113,957.01
2014-10-01,2014-08,Panel,52,1482.35
2014-10-01,2014-08,Brick,36,1856.05
2014-10-01,2014-08,Brick,19,749.89
2014-10-02,2014-08,Panel,91,2094.94
2014-10-02,2014-08,Brick,125,2432.36
2014-10-02,2014-08,Brick,65,1960.86
2014-10-02,2014-08,Panel,77,510.93
2014-10-02,2014-08,Panel,72,1284.32
2014-10-02,2014-08,Brick,86,9743.7
2014-10-02,2014-08,Brick,124,1251.67
2014-10-02,2014-08,Stone,2,2050.98
2014-10-03,2014-08,Stone,9,3646.91
2014-10-03,2014-08,Panel,68,3463.53
2014-10-03,2014-08,Panel,31,1113.19
2014-10-03,2014-08,Brick,101,3511.27
2014-10-03,2014-08,Brick,51,8724.56
2014-10-03,2014-08,Brick,22,1314.85
2014-10-03,2014-08,Panel,76,2124.42
2014-10-03,2014-08,Panel,55,1788.33
2014-10-04,2014-08,Brick,96,421.85
2014-10-04,2014-08,Panel,98,681.49
2014-10-04,2014-08,Stone,10,2470.85
2014-10-04,2014-08,Panel,94,8554.36
2014-10-04,2014-08,Panel,5,3801.45
2014-10-04,2014-08,Wooden,4,573.55
2014-10-04,2014-08,Brick,32,838.84
2014-10-04,2014-08,Panel,11,5297.2
2014-10-05,2014-08,Brick,89,3025.94
2014-10-05,2014-08,Brick,8,3060.39
2014-10-05,2014-08,Brick,43,2726.24
2014-10-05,2014-08,Brick,75,2857.63
2014-10-05,2014-08,Brick,53,1659.3
2014-10-05,2014-08,Panel,74,372.1
2014-10-05,2014-08,Brick,93,1821.06
2014-10-05,2014-08,Panel,39,730.14
2014-10-06,2014-08,Panel,35,207.07
2014-10-06,2014-08,Brick,140,2548.32
2014-10-06,2014-08,Brick,126,756.06
2014-10-06,2014-08,Panel,9,1435.67
2014-10-06,2014-08,Brick,30,491.86
2014-10-06,2014-08,Brick,50,10572.53
2014-10-06,2014-08,Panel,26,3163.88
2014-10-06,2014-08,Stone,1,1757.03
2014-10-07,2014-08,Panel,43,4067.98
2014-10-07,2014-08,Panel,80,3972.24
2014-10-07,2014-08,Panel,16,541.61
2014-10-07,2014-08,Brick,54,37.22
2014-10-07,2014-08,Stone,13,7302.65
2014-10-07,2014-08,Brick,72,2075.04
2014-10-07,2014-08,Wooden,2,380.7
2014-10-07,2014-08,Brick,130,1963.16
2014-10-08,2014-08,Panel,54,2592.7
2014-10-08,2014-08,Panel,95,5272.86
2014-10-08,2014-08,Panel,65,297.21
2014-10-08,2014-08,Brick,44,3658.05
2014-10-08,2014-08,Brick,35,10465.32
2014-10-08,2014-08,Brick,63,7031.59
2014-10-08,2014-08,Panel,32,2331.66
2014-10-08,2014-08,Panel,49,437.57
2014-10-09,2014-08,Brick,88,6906.23
2014-10-09,2014-08,Brick,18,1297.03
2014-10-09,2014-08,Brick,128,2980.52
2014-10-09,2014-08,Stone,5,1822.3
2014-10-09,2014-08,Panel,1,1512.6
2014-10-09,2014-08,Panel,34,1690.98
2014-10-09,2014-08,Brick,134,533.09
2014-10-09,2014-08,Panel,92,6981.1
2014-10-10,2014-08,Brick,41,1134.62
2014-10-10,2014-08,Stone,3,1421.85
2014-10-10,2014-08,Brick,25,2473.4
2014-10-10,2014-08,Panel,73,4764.21
2014-10-10,2014-08,Brick,11,1096.59
2014-10-10,2014-08,Brick,114,8386.63
2014-10-10,2014-08,Brick,77,6726.33
2014-10-10,2014-08,Brick,7,789.77
2014-10-11,2014-08,Panel,66,2875.02
2014-10-11,2014-08,Brick,90,3867.02
2014-10-11,2014-08,Brick,115,1535.02
